id,question_text,question_type,options,correct_answers,difficulty
1,"Как называется операция, результатом которой являются элементы, входящие в оба множества?",open,,пересечение,easy
2,"Как называется множество, включающее все элементы рассматриваемых множеств?",open,,универсальное,medium
3,"Как называется множество, содержащее все элементы A и B без повторений?",open,,объединенное,medium
4,"Как называется множество, которое не содержит ни одного элемента?",open,,пустое,easy
5,"Как обозначается операция объединения двух множеств?",open,,объединение,easy
6,"Что обозначает символ ∩?",open,,пересечение,easy
7,"Что обозначает символ ∪?",open,,объединение,easy
8,"Как называется множество всех возможных элементов в данной задаче?",open,,универсальное,medium
9,"Как называется операция, при которой из одного множества исключаются элементы другого?",open,,разность,medium
10,"Что называется мощностью множества?",open,,мощность,medium
11,"Какой результат пересечения двух непересекающихся множеств?",open,,пустое,medium
12,"Какое множество содержит только элементы, отсутствующие в данном множестве?",open,,дополнение,medium
13,"Как называется операция A Δ B в теории множеств?",open,,симметрическая разность,medium
14,"Какой символ используется для обозначения пустого множества?",open,,∅,medium
15,"Что получится при объединении множества с пустым множеством?",open,,исходное множество,medium
16,"Что такое универсальное множество?",open,,универсальное,medium
17,"Что получится при пересечении множества с пустым множеством?",open,,пустое,medium
18,"Как называется множество, равное объединению множества и его дополнения?",open,,универсальное,medium
19,"Какой результат пересечения множества A с самим собой?",open,,A,medium
20,"Что означает, что A ⊆ B?",open,,подмножество,medium
21,"Что получится при объединении A и A?",open,,A,medium
22,"Что получится при разности множества с самим собой?",open,,пустое,medium
23,"Как обозначается операция исключения общих элементов двух множеств?",open,,симметрическая разность,medium
24,"Что получится при пересечении A и A?",open,,A,medium
25,"Какой результат объединения множества A с его подмножеством B?",open,,A,medium
26,"Какой результат пересечения A и B, если B ⊆ A?",open,,B,medium
27,"Что обозначает выражение A \ B?",open,,разность,medium
28,Что обозначает символ ∅?,single,пустое множество||универсальное множество||разность||объединение,пустое множество,easy
29,Какая операция обозначается символом ∪?,single,объединение||пересечение||разность||дополнение,объединение,easy
30,Что обозначает символ ∩?,single,пересечение||объединение||разность||дополнение,пересечение,easy
31,Что обозначает символ ∖?,single,разность||пересечение||дополнение||объединение,разность,easy
32,Что такое универсальное множество?,single,множество всех элементов||пустое множество||подмножество||объединение,множество всех элементов,easy
33,"Сколько элементов в A = {1,2,11,19}?",single,4||3||5||6,4,easy
34,"Сколько элементов в A = {1,2,6,15,19}?",single,7||4||5||6,5,easy
35,"Сколько элементов в A = {4,9,14}?",single,3||4||5||2,3,easy
36,"Сколько элементов в A = {x | x ∈ ℕ, 2 ≤ x ≤ 5}?",single,4||3||5||6,4,easy
37,"Сколько элементов в A = {7,9,12,13,16}?",single,7||6||5||4,5,easy
